id,filepath,filename,title,description,price,auto_caption
p001,/content/drive/MyDrive/pics products/belt1.jpg,belt1.jpg,Belt1,Photo of Belt1. (Auto-generated).,32,the belt is made from a brown leather
p002,/content/drive/MyDrive/pics products/cloth1.jpg,cloth1.jpg,Cloth1,Photo of Cloth1. (Auto-generated).,39,a green t - shirt hanging on a white brick wall
p003,/content/drive/MyDrive/pics products/cloth3.jpg,cloth3.jpg,Cloth3,Photo of Cloth3. (Auto-generated).,46,a dress hanging on a clothes rack
p004,/content/drive/MyDrive/pics products/clothe2.jpg,clothe2.jpg,Clothe2,Photo of Clothe2. (Auto-generated).,53,a suit on display in a store
p005,/content/drive/MyDrive/pics products/laptop1.jfif,laptop1.jfif,Laptop1,Photo of Laptop1. (Auto-generated).,60,a laptop on a desk
p006,/content/drive/MyDrive/pics products/phone1.jfif,phone1.jfif,Phone1,Photo of Phone1. (Auto-generated).,67,the new hua 5g smartphone
p007,/content/drive/MyDrive/pics products/ring1.jpg,ring1.jpg,Ring1,Photo of Ring1. (Auto-generated).,74,a gold engagement ring with a round diamond
p008,/content/drive/MyDrive/pics products/shoe1.jfif,shoe1.jfif,Shoe1,Photo of Shoe1. (Auto-generated).,81,a pair of shoes
p009,/content/drive/MyDrive/pics products/shoe1.jpg,shoe1.jpg,Shoe1,Photo of Shoe1. (Auto-generated).,88,a blue sneaker with a white sole and a white sole
p010,/content/drive/MyDrive/pics products/shoe2.avif,shoe2.avif,Shoe2,Photo of Shoe2. (Auto-generated).,95,jordan air jordan 1 mid grey / white - infrared red
p011,/content/drive/MyDrive/pics products/shoe3.jpg,shoe3.jpg,Shoe3,Photo of Shoe3. (Auto-generated).,102,nike air max ultra flyknit
p012,/content/drive/MyDrive/pics products/testcloth.jpg,testcloth.jpg,Testcloth,Photo of Testcloth. (Auto-generated).,109,a green dress with a belt
p013,/content/drive/MyDrive/pics products/watch1.jfif,watch1.jfif,Watch1,Photo of Watch1. (Auto-generated).,116,a watch on a table with a blue background
p014,/content/drive/MyDrive/pics products/watch2.jpg,watch2.jpg,Watch2,Photo of Watch2. (Auto-generated).,123,a watch with a blue dial and two toned steel bracelet
